Beatmap,SR
3106431 | WE LUV LAMA [NB4 Challenge 29 1.3x],7.6934
4399289 | Shoujo A [Quick and hateful cold [1.3x Rate]],7.6930
3260898 | The Truth Never Spoken [Empty Pages 1.1x],7.6862
2204534 | little (girl) goodbye.rah [parting [1.4x Rate]],7.6775
2701199 | Time to Say Goodbye [Farewell 1.1x (275bpm)],7.6703
4317895 | KAMISORI [ERADICATE 1.2x],7.6698
3361332 | Ariabl'eyeS Collection [Sougetsu Oratorio 1.1x],7.6683
3442422 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.1x],7.6677
3821814 | Skrillexore [Call 911!! 1.4x],7.6655
3889546 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.25x (250bpm)],7.6650
1961657 | You Say Run [Gift [1.05x Rate]],7.6627
4874226 | Angels Crying [here we go again 1.25x],7.6515
1441122 | Highscore [Achievement! [x1.4]],7.6431
3379606 | Yatsume Ana [<!> [x1.2]],7.6388
4311936 | Angel Echo -L'appel du vide- [le mot de l'esprit],7.6387
2771698 | Angel's Salad ('Le mythe etendu' ver.) [indifference 1.15],7.6365
2793588 | far in the blue sky... [42 [0.95]],7.6351
2794753 | Embraced by the Flame [Ifrit (280bpm)],7.6350
3227232 | Mood Breaker [Jack Breaker 1.4x],7.6348
3454813 | Pacific Girls [IcyWorld 1.35x],7.6321
2162156 | We Could Get More Machinegun Psystyle! (And More Genre Switches) [Aural Annihilation],7.6247
3262554 | Crescent Moon Island [Kuro],7.6247
4303117 | Kamiari Algorithm (katagiri Bootleg) [kami x1.20],7.6240
4213142 | think abt it w/ ppgcasper [_o_ [1.4x Rate]],7.6235
3341782 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x0.95],7.6222
"4766471 | 1,000,000 TIMES [Unmei x1.4]",7.6185
2397359 | Wallspin [1.2],7.6172
3645839 | The Empress [MASSACRE],7.6105
3674469 | GOTTASADAE [GOTTASADAE x1.2],7.6057
1896833 | DaemonophobiA [Kowagaru],7.5956
4706643 | EVERYTHING BLACK feat. RATIRL [Lieless FRENCHCORE BOOTLEG] (Sped Up & Cut Ver.) [EDGY DIFFNAME],7.5908
2827579 | ch3rry [Sar4CORE! [1.3x Rate]],7.5896
1482758 | Nhelv [Silent],7.5832
3718969 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.3x Rate]],7.5827
3261966 | arpia97's Vibro Anthology [Yasashisa no Riyuu],7.5782
"4009266 | Hylotl's LN Collection [Camellia as ""fluX Xroise"" - Xronier (""geneXe"" Long ver.)]",7.5763
3065262 | Break [Smash 1.1x],7.5737
1251238 | Trouble Kuroneko Man'yuuki [Ayumu's Distress 1.3x],7.5736
3261948 | arpia97's Vibro Anthology [DAYS of DASH],7.5724
3315957 | Kitsune no Yomeiri [Fox [150]],7.5713
4786702 | Rush (Cut Ver.) [Titanium],7.5704
4476908 | Bluenation [1.45x],7.5680
3111688 | M-A [IcyWorld's Expert Lv.15 1.4x],7.5647
2592118 | Violent Arcade [Sudden Death x1.2],7.5617
3976253 | Fallen Symphony [Incomprehensible Musicality],7.5585
1282857 | Her Majesty [Another 1.4x],7.5564
3696104 | KLASSIKER EINHEIT [Challenge 1.4x],7.5556
