Beatmap,SR,Objects,Variety,Spikiness
3341785 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.)],7.9490,7909,3.0001,0.9229
2511365 | LTD Pack [Hatsuki Yura - Onyx Veil],7.9439,7252,2.1329,0.9558
3361327 | Ariabl'eyeS Collection [Kegarenaki Barajuuji 1.1x],7.9293,7302,2.5612,0.9326
3640441 | Cry [Destruction],7.9254,2430,3.2810,1.0853
2465616 | NUCLEAR-STAR [Polaris (feat. _underjoy)],7.9176,4392,3.7065,1.0788
4584948 | Dat Phonk [GET DOWN],7.9139,2599,2.5362,0.9694
4399288 | Shoujo A [Quick and hateful cold [1.35x Rate]],7.9059,4180,2.4630,0.9943
787944 | The Empress [MASSACRE 1.05x],7.9041,5884,2.5738,0.9817
3755587 | Odoru Mizushibuki [Macabre 1.3x (179bpm)],7.9026,1528,2.9658,0.9639
2480045 | Who's That Boy [hear me blingo on my guitarra 30% faster],7.8967,3706,2.4992,0.9444
1196413 | Palette GAMMA [Myriad],7.8951,1720,3.0198,0.9825
3454815 | Pacific Girls [IcyWorld 1.4x],7.8949,5898,2.3049,0.9487
3498613 | Las Avispas [Picadura [170]],7.8898,3750,2.5217,1.0829
"3180933 | Excuse My Rudeness, But Could You Please RIP?<3 (t+pazolite Remix) [LN's Reaper 1.2x (312bpm)]",7.8889,2881,2.6908,1.0347
3260897 | The Truth Never Spoken [Empty Pages 1.15x],7.8871,2716,2.6788,0.9997
2524291 | Fly Me To The Moon (Infinite Climax Mix) (Cut Ver.) [1.3],7.8837,3133,2.9806,0.9221
3889549 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.3x (260bpm)],7.8791,2163,3.1495,0.9563
3514859 | Me Tengo Que Ir [1.25],7.8762,4723,3.1087,1.0040
4388484 | hurricanic -short size- [Challenge],7.8708,2944,2.5260,1.0023
3065261 | Break [Smash 1.15x],7.8628,1973,2.5254,1.0129
2877294 | STRONG 280 [POWERFUL 280],7.8560,5596,2.5006,0.9677
3793375 | steganography [Cipher Encryption],7.8549,5329,3.7027,1.0026
3353155 | volcanic [Challenge],7.8460,3412,2.4759,1.0003
3718968 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.35x Rate]],7.8426,4910,2.4266,1.0038
1630540 | GHOST [x1.3],7.8362,4851,2.8603,0.9964
3090618 | unravel [escapist 1.15x (155bpm)],7.8360,3623,3.2458,0.9990
2827578 | ch3rry [Sar4CORE! [1.35x Rate]],7.8319,3640,2.6259,0.9632
1753423 | Quadraphinix [Challenge 1.5x],7.8284,2398,2.7045,0.9708
3957738 | Can You Feel My Heart (Cut Ver.) [Anguish 1.1x (141bpm)],7.8242,2036,2.9590,1.0642
2191000 | Three Bastards [Cannibalistic Warlords],7.8193,5620,2.9125,1.0155
3926312 | Adcar [Challenge x1.3],7.8154,2869,3.2616,1.0618
4377882 | The Azure Arbitrator [Play Trails],7.8086,7904,3.0834,0.9955
2557821 | More One Night (Assertive Hardcore Bootleg) [long ver.] [\o\ DAB /o/ x1.3],7.8075,2879,3.1677,1.0057
2295004 | Daichi ni Saku Senritsu [Impossible 1.2x],7.8071,4808,2.4671,1.0214
3123871 | FUTURE DOMINATORS [NB5 Hard 54235 1.3x],7.7843,6047,2.4317,0.9398
3261964 | arpia97's Vibro Anthology [Soundscape],7.7803,1695,2.9756,1.0903
4213142 | think abt it w/ ppgcasper [_o_ [1.4x Rate]],7.7793,1457,3.1386,1.0184
3341776 | The Blue Sanctuary [The Cradle of the Sky],7.7773,15752,2.9868,0.9598
2627287 | Forgotten [Extra (350bpm)],7.7767,2186,3.1915,1.0100
4004787 | goTe EX [Metacognition],7.7708,3763,3.6660,1.0937
3402547 | KAERU [Frog Regrets 1.2x (275bpm)],7.7585,4083,2.4336,0.9507
4009275 | Hylotl's LN Collection [Laur - Exitium],7.7493,2608,3.4991,0.9896
3875944 | A [ex 1.3],7.7445,6464,2.4275,0.9314
3782699 | Reap What You Sow [1.15],7.7442,2961,3.1583,1.0087
3821814 | Skrillexore [Call 911!! 1.4x],7.7395,2429,3.0159,1.0241
2650374 | H.A.R.D.C.O.R.E. [Hell [1.15x Rate]],7.7215,9093,2.4052,0.9515
3440816 | Haunted (dive to the heart remix) [Fangs],7.7152,1915,2.8451,1.0135
4311936 | Angel Echo -L'appel du vide- [le mot de l'esprit],7.7152,4231,3.6521,0.9827
3986998 | Hustler (feat. Highdiwaan) [1.05x],7.7128,3014,2.9510,1.0435
2183959 | that schoolgirl [the worst [1.4x Rate]],7.6992,865,3.5758,1.1282
4108895 | G e n g a o z o -Noize of Nocent- [Innocence 0.9x],7.6989,13426,2.1152,0.9328
3084905 | Matusa Bomber [1.1],7.6980,3630,3.1361,0.9459
3261942 | arpia97's Vibro Anthology [Believe x Believe],7.6974,1188,3.2751,1.1593
2357900 | Triumphal Return [dou-jack 1.15],7.6970,2639,2.5702,0.9496
3328350 | Sendan Life (katagiri Bootleg) [Chord Life [155]],7.6963,3407,2.5287,0.9880
918840 | 10Dollar Dump Dump Revolutions 2 part.3 [sweet ARMS - Installation [10Dollar Presents] 36],7.6952,1787,3.1557,1.1212
3820256 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.2x],7.6926,3334,2.3764,0.9195
2573488 | Yoru ni Kakeru [a lonely night... x1.4],7.6916,4009,3.1179,0.9873
4905022 | Bring Our Ignition Back (Cut Ver.) [Ignition180],7.6874,2757,2.9606,1.0030
4288498 | Frontier Explorer [Black Another [1.3x]],7.6870,2615,2.7665,1.0007
2548264 | Cyberia lyr3 [Razor Blades [1.4x Rate]],7.6837,3385,2.3416,0.9799
2701199 | Time to Say Goodbye [Farewell 1.1x (275bpm)],7.6821,3353,2.9447,1.0089
"3670219 | HAVOX (Camellia's ""XATAXLYSM"" Remix) [Cataclysmic Havoc]",7.6819,6358,3.4061,1.0445
3106431 | WE LUV LAMA [NB4 Challenge 29 1.3x],7.6805,5503,2.5445,0.9899
3674469 | GOTTASADAE [GOTTASADAE x1.2],7.6772,2523,2.5800,0.9745
2103854 | Vocaloid Chordjack Pack Vol.1 [Electric Angel ([Crz]Rachel)],7.6769,4140,2.4355,1.0137
2771698 | Angel's Salad ('Le mythe etendu' ver.) [indifference 1.15],7.6718,3800,3.2214,0.9768
4496828 | Deep Down (Sped Up Ver.) [You & I],7.6689,2072,2.8258,1.0318
3261955 | arpia97's Vibro Anthology [KAEDE (Hydria)],7.6670,2975,3.4059,1.1222
3262554 | Crescent Moon Island [Kuro],7.6669,2711,3.0520,0.9520
2435721 | Gympie Gympe [GYMP 1.4],7.6635,2319,2.6905,1.0369
1961657 | You Say Run [Gift [1.05x Rate]],7.6617,3995,2.8246,1.0019
1545535 | arpia97's Vibro Anthology [Ugoku Ugoku],7.6585,1202,3.3947,1.2687
3260217 | Ariabl'eyeS Collection [Shuuen no Kane],7.6568,7332,2.5193,0.9726
4874226 | Angels Crying [here we go again 1.25x],7.6534,3949,2.3043,0.9442
4399289 | Shoujo A [Quick and hateful cold [1.3x Rate]],7.6473,4180,2.4870,0.9937
3889546 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.25x (250bpm)],7.6437,2163,3.0702,0.9562
4317895 | KAMISORI [ERADICATE 1.2x],7.6431,2299,2.8349,1.0007
3260898 | The Truth Never Spoken [Empty Pages 1.1x],7.6283,2716,2.6625,1.0001
3261947 | arpia97's Vibro Anthology [CLOSER],7.6251,1870,2.5383,1.0353
3261944 | arpia97's Vibro Anthology [Choumusubi Amulet],7.6157,1846,3.0691,1.1578
2204534 | little (girl) goodbye.rah [parting [1.4x Rate]],7.6150,2791,2.7916,0.9884
3361332 | Ariabl'eyeS Collection [Sougetsu Oratorio 1.1x],7.6136,5631,2.6751,0.9608
1540660 | arpia97's Vibro Anthology [LegenD.],7.6130,2459,3.0434,1.2780
2397359 | Wallspin [1.2],7.6120,3445,3.1505,1.0449
2592118 | Violent Arcade [Sudden Death x1.2],7.6056,2504,3.3154,1.0372
3261959 | arpia97's Vibro Anthology [MIND CONDUCTOR],7.6003,1642,3.1074,1.1271
2162156 | We Could Get More Machinegun Psystyle! (And More Genre Switches) [Aural Annihilation],7.5999,5068,3.5256,1.1448
3442422 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.1x],7.5960,3434,2.5290,1.0378
1482758 | Nhelv [Silent],7.5933,2688,3.1322,1.0337
