Beatmap,SR,Objects,Variety,Spikiness,Switch
811360 | reverb [S.Star's Normal],2.6253,1120,4.4800,1.2494,0.9219
1052773 | Ultimate Fate [Normal],2.6252,536,4.3892,1.2463,0.8855
836182 | Love Maker [7K HD],2.6245,1110,3.9522,1.1458,0.9648
1005552 | citanLu [Normal],2.6238,714,4.1103,1.1699,0.8972
727073 | Imprinting [Normal],2.6228,470,4.4116,1.3184,0.8334
748748 | Blow with the Fires [7K Slavya NM],2.6226,412,4.2687,1.2352,0.9114
4065228 | Eviternity [Normal],2.6213,836,4.2289,1.1988,0.9557
786267 | River Flows in You (LR Mix) [7K Hard],2.6213,998,3.9698,1.2644,0.9127
3394018 | Nimble as Lightning [7K Normal],2.6209,294,4.3300,1.0813,0.9611
"246281 | Piano Concerto No.1 ""Scream"" [LV.9]",2.6188,589,4.3306,1.2441,0.8866
2508650 | Flamenco House [Normal],2.6180,1018,3.8905,1.0903,1.0035
2560421 | Girlish Lover (TV Size) [Feru's 7K NM],2.6175,499,3.9863,1.1701,0.9061
4125829 | Myosotis (Remixed By Yamato Kasai From Mili) [Poulet's Easy],2.6167,266,4.6794,1.0884,1.0022
4479584 | FUBUKI BAR [LOSING IT],2.6133,1262,3.1449,1.0015,0.8821
4759866 | I lost it all when you were in Yunlin [7K Normal],2.6098,812,3.7700,1.2072,0.9401
1086553 | Catch You Catch Me (TV Size) [7K NM],2.6090,350,4.0823,1.1417,0.9279
1966424 | L.F.O [Normal],2.6073,736,3.7866,1.2219,0.9109
299879 | Phantasmagoria [7K HD],2.6067,556,4.3630,1.1785,0.9361
695195 | PSI-missing(TV Size) [Etlie's Hard],2.6066,577,3.7166,1.1047,0.9884
367797 | Born to Be (TV Size) [7K HD],2.6048,457,4.0493,1.2470,0.9078
2696457 | Yoru ni Kakeru [7K Hard],2.6045,1082,3.5849,1.2046,0.9322
4675796 | Shikairo Days (TV Size) [_Yiiiii's Normal],2.6036,740,3.5860,1.0717,0.9278
2007906 | Koakuma x3 no Daidasso!? [Normal],2.6034,946,4.1006,1.0673,0.9814
355527 | Complex Image [Lv.15],2.6014,820,3.7977,1.1668,0.9281
515839 | Nanatsu Issenzakura [Normal],2.6014,536,3.9954,1.2787,0.8411
3672490 | dammit [Normal],2.6002,773,4.3438,1.0669,0.9415
1577583 | Future Cider [Normal],2.5994,1102,4.3496,1.2813,0.8827
556971 | Christmas Memories [Normal],2.5979,585,4.0861,1.1748,0.9304
1117876 | Orange (Anime Ver.) [Normal],2.5976,326,4.6015,1.3120,0.9429
1255027 | Piano 7K BMS Pack [Klaus Badelt and Hans Zimmer - He is a Pirate],2.5974,812,2.8949,1.0076,0.9622
293925 | I'm so Happy [7K ADVANCED Lv.10],2.5959,488,4.0729,1.1846,0.9239
4264142 | Sunset [Ash's Normal],2.5912,981,3.7990,1.1820,0.9091
336588 | SAVIOR OF SONG (TV Size) [S.Star's Hard],2.5910,547,3.8067,1.1808,0.9290
279133 | STILL SPLODIN' THO (Interlude) [HanzeR's Normal],2.5907,234,4.3294,1.0887,1.0474
413217 | Tokohana [7K NM],2.5906,395,4.3624,1.1150,0.9370
4207613 | Aozora no Rhapsody [Normal],2.5867,214,3.9427,1.0195,1.0396
2205805 | Merry Snowy Fantasy feat. Hanon [Normal],2.5848,1074,3.8874,1.2917,0.8539
897241 | Contrail ~Kiseki~ [Normal],2.5796,465,4.1527,1.1476,0.9340
3487939 | Evanescent Edge [Normal],2.5754,922,4.1355,1.1957,0.9168
4179894 | Thrilling One-way [Normal],2.5740,825,3.7888,1.2306,0.9052
394207 | Wake up! (Anime ver.) [R8's 7K NM],2.5727,628,4.0604,1.1031,0.9796
970988 | Enigma [NOVICE],2.5725,663,4.0524,1.1461,0.9353
698201 | Kyun Kyun Tamaran Inaba-tan. [Hard],2.5688,1057,3.6719,1.2019,0.8913
313765 | Stay with me [HD],2.5679,675,3.8277,1.3417,0.9265
1282196 | Piano 7K BMS Pack [toby fox - Snowdin Town],2.5676,640,3.3973,1.2558,0.8302
413727 | MASAYUME CHASING (TV Size) [7K Hard],2.5646,481,4.0005,1.0794,0.9608
4233985 | Beginning [7K | AndreyChomik's Normal],2.5630,67,5.4844,1.1182,1.0231
1612209 | Yuki wa Doko ni? Kimi no Mune ni! [7K Hard],2.5585,882,3.5995,1.1649,0.9184
363562 | Re:make [Pro Drum],2.5582,1375,3.8292,1.2822,0.8808
3932882 | KICK BACK [Easy],2.5577,739,4.4044,1.2906,0.9438
3371559 | Newspapers for Magicians [Normal],2.5555,1420,4.2632,1.2024,0.9387
326715 | POODLE [7K HyPew],2.5552,925,3.6795,1.2256,0.9334
1769544 | Last Resort [Murumoo's NOVICE],2.5544,441,4.2783,1.1791,0.9436
1035081 | Hesperides [Normal],2.5532,496,4.5023,1.1090,0.9515
888437 | Fascination MAXX [7K Light],2.5523,529,3.9145,1.2478,0.9221
3691999 | Triumphal Return [Hard],2.5491,1098,3.7883,1.1511,0.9535
1771459 | ouroboros -twin stroke of the end- [7K CS' Normal],2.5477,882,4.1741,1.1506,0.9220
1282195 | Piano 7K BMS Pack [toby fox - Nyeh Nyeh Nyeh],2.5454,654,2.8118,1.0590,0.8925
3693251 | Chroma (Game Ver.) [Intermediate],2.5424,460,3.7698,1.0589,0.9855
420781 | FREEDOM DiVE [Blocko's 7K Normal],2.5402,1582,3.8739,1.2011,0.9708
656060 | Ghostly Band ~ Phantom Ensemble [EZ],2.5400,620,4.8421,1.1493,0.9699
588733 | Valhalla [Standard],2.5394,735,4.4570,1.2179,0.8824
4152458 | Paper Bouquet (TV Size) [7K Normal],2.5369,607,3.9324,1.2127,0.9602
3789497 | Testify [FLeVI's Primitive],2.5349,652,4.3666,1.1723,0.9291
4655605 | Sunao ni Naritai (osu! Edit Ver.) [Normal],2.5338,923,3.7107,1.1298,0.9095
305651 | Sedap Malam [Normal],2.5325,1030,4.4311,1.2428,0.8676
4455917 | Chiisana Ketsui [7K Collab Easy],2.5319,154,4.6604,1.0472,0.9923
4079166 | LIMBO [EZ],2.5317,605,4.2065,1.2460,0.8672
1337069 | Piano 7K BMS Pack [ZUN - Heian Alien],2.5291,1203,3.4049,1.1390,0.8749
3527853 | AO-Infinity [Hyper],2.5286,1338,4.0899,1.2303,0.9513
950232 | Tobidase! Bankikki(Casual Killer remix) [jakads' NM],2.5281,331,3.8559,1.1966,0.9672
521572 | Alice's Mad Tea Party [lZenxl's HD],2.5270,1088,4.0973,1.3817,0.8828
350864 | Airman ga Taosenai (SOUND HOLIC Ver.) [Rumi's Normal],2.5256,1277,4.0503,1.2758,0.8642
674791 | Nanairo Symphony -TV Size- [kif's NM],2.5254,394,4.2687,1.1438,0.9713
1719272 | Colors Power ni Omakasero! [Hard],2.5242,796,3.7646,1.2806,0.9054
1253009 | Grand Chariot [7K // Standard],2.5235,715,4.1283,1.1605,0.9059
4111788 | Midnight Musing [easy],2.5200,67,3.7014,1.1031,1.0368
1213027 | Sennen no Kotowari [NOVICE],2.5183,739,3.9503,1.2336,0.9055
"3891113 | Aegleseeker (""Afterworld"" Full Version) [Normal]",2.5161,1944,4.4956,1.2109,0.9209
1351135 | Hold Angel [Normal],2.5142,567,3.9704,1.1209,0.9867
1364569 | Mama ft. William Singe [7K Hard],2.5139,579,3.7622,1.2055,0.9549
262959 | Conflict (Vocaloid Ver.) [Pew's NM],2.5137,965,3.9464,1.1550,0.9417
0 | Alice in Misanthrope -Ensei Alice- [Normal],2.5133,786,4.1845,1.2409,0.9044
1337062 | Piano 7K BMS Pack [Jeremy Soule - Dragonborn],2.5130,992,3.9915,1.4762,0.8766
250856 | Rhythmical Planet [Normal],2.5126,1307,4.0901,1.3414,0.8417
2518716 | Realize (TV Size) [Normal],2.5102,615,4.0111,1.1420,0.9446
1126755 | REANIMATE [Experrectus / 7K Beginner],2.5088,394,4.7721,1.1406,0.9528
665598 | ApolloN [7K Normal],2.5086,702,4.0481,1.1299,0.9526
1126759 | REANIMATE [Ne memineris / Shici's 7K Standard],2.5048,692,4.3417,1.2190,0.9141
2795856 | LOA2 [NORMAL],2.5040,860,3.7278,1.0945,1.0123
2170408 | R.I.P. [7K Normal],2.5031,762,4.0233,1.1074,0.9495
683577 | Kimiiro Signal-TV size ver.- [7K NM 'Tomoya'],2.5021,437,4.1034,1.1842,0.8735
4619190 | Prismatic Lollipops [Lv. 2 | Normal],2.5017,578,3.9268,1.1182,1.0193
2272482 | Gangu Kyou Sou Kyoku -Shuuen- [7K BASIC],2.5009,585,4.4215,1.2024,0.9092
981293 | Music Revolver [Normal],2.5006,478,4.3570,1.2654,0.9231
1122841 | Horang Pungryuga [Wonki's NM],2.4963,564,4.1149,1.2223,0.9105
4069907 | CO5M1C R4ILR0AD [4DV4NC3D],2.4957,879,3.9744,1.1184,0.9773
397395 | VOICE (TV Size) [7K NM],2.4941,557,3.6905,1.0593,0.9711
448351 | Hyori Ittai [Lv.12],2.4930,583,4.0043,1.2438,0.9422
898255 | Theme of Rabi-Ribi [7K Hard],2.4916,615,3.8335,1.1395,0.8795
4164105 | Lazy! [Hard!],2.4897,1240,3.6709,1.0643,0.9593
375661 | Colorful Minutes [NM],2.4841,490,3.9121,1.2054,0.9387
1872640 | Re:TrymenT [Rivals' 7K NormaL],2.4840,466,4.2314,1.1352,0.9395
1337013 | Piano 7K BMS Pack [Offenbach - Can Can],2.4808,996,3.5510,1.0613,0.8742
654040 | Reverence [Hard],2.4777,1128,3.9088,1.2834,0.8983
763919 | START:DASH!! (Prepro Piano Mix) [Hard],2.4767,782,3.3326,1.1747,0.8573
645738 | Reverse - Parallel Universe [Normal],2.4762,745,4.4252,1.2069,0.9114
2570588 | Spatto! Spy & Spyce (TV Size) [Normal],2.4758,569,4.1084,1.2495,0.9262
"219358 | Utakata, Ai no Mahoroba [LV.14]",2.4729,624,3.8374,1.1485,0.9007
559686 | Halloween Party [Normal],2.4715,585,4.0313,1.2332,0.8915
351210 | Everlasting Summer [Hard],2.4712,392,4.1637,1.1189,0.9276
3894806 | Rendezvous (TV Size) [Normal],2.4691,392,4.2770,1.2040,0.9205
741899 | STORIA [Ene's 7K Normal],2.4679,1154,4.1677,1.2771,0.8318
1970422 | Clockwork Spooks [Aries' Normal],2.4671,1330,3.9679,1.1020,1.0036
3384171 | 300 Nuts Per Minute [7K Small Nuts],2.4671,1059,3.7094,1.2636,0.8461
374721 | INFINITY OVERDRIVE [ADVANCED],2.4667,813,3.7357,1.1587,0.9527
4288130 | Woodfairies [7K Easy],2.4664,456,4.5539,1.2159,0.8996
3743115 | Positive*Dance Time [Hytex's 7K Normal],2.4613,744,3.9720,1.0320,1.0137
2262052 | Gardens Under A Spring Sky [Normal],2.4573,872,3.7175,1.2061,0.9242
230492 | Dynasty [Entozer's Normal],2.4567,452,4.2296,1.1721,0.8988
4127122 | Take the Journey [7K Our Journey Begins Here],2.4559,208,4.0197,1.0656,0.9788
1342113 | Breeze [Normal],2.4546,567,4.1322,1.2139,0.9148
395543 | Nemesis (pi/3's Remix) [Easy],2.4519,1112,4.5794,1.3425,0.9175
548859 | Jousou Dystopia [Hyper],2.4492,791,3.8454,1.4151,0.9046
4380905 | that day [Stroll],2.4458,272,4.6133,1.1238,0.9542
434895 | Little Busters! (TV Size) [Lv.12],2.4431,537,3.8975,1.2169,0.9038
"282292 | Anisakis -somatic mutation type ""Forza""- [LV.11]",2.4404,502,4.3746,1.2161,0.8983
571519 | Tsuki -Yue- [Hyper],2.4403,1012,3.7036,1.6186,0.8547
2533458 | Moon-gate [Normal],2.4397,1040,3.5718,1.1186,0.9010
2114137 | Birdsong [Leni's Easy],2.4395,520,4.3395,1.1866,0.8876
553624 | Ningen Shikkaku [Usagi's 7K EZ],2.4281,860,4.2001,1.2760,0.8571
217671 | Sweet Rain [Hard],2.4260,710,3.9519,1.2311,0.8956
403932 | inside [NM],2.4226,289,4.6877,1.1525,0.9518
420168 | Analyze [7K NM],2.4224,506,4.3053,1.1719,0.9516
3971899 | Grin [Alptraum's Normal],2.4218,901,4.0211,1.2255,0.9014
4871742 | NOVO HORIZONTE [Advanced],2.4213,1307,3.5530,1.0725,0.9078
270858 | unfinished (TV Size) [7K Hard],2.4156,619,3.7165,1.1794,0.9574
4775398 | Nakayoshi! Maru! Nakayoshi! (Kirara Magic Bootleg Remix) [Normal],2.4136,849,4.3975,1.2320,0.9069
427605 | My dear friend [7K Normal],2.4128,1059,4.1637,1.2230,0.8614
3859161 | Ocean Blue [Normal],2.4119,1162,3.7507,1.1439,0.9052
430352 | Qualia [mia-'s 7K NM],2.4102,661,4.1293,1.2983,0.8933
1831778 | Destr0yer [Normal],2.4093,926,3.7781,1.3184,0.8414
4560766 | Tonight We Fly [Easy],2.4078,379,4.6101,1.1785,0.9406
1337056 | Piano 7K BMS Pack [Jonathan Coulton - Still Alive],2.4077,1472,3.0987,1.1846,0.8222
697222 | Shinsei Taiju [Normal],2.4071,542,4.2473,1.0962,0.9213
4583430 | Roxas [7K HD],2.4038,276,3.6727,1.0601,0.8893
1337040 | Piano 7K BMS Pack [Hiroyuki Sawano - Blumenkranz],2.4022,2100,3.1885,1.1027,0.8551
1322822 | Piano 7K BMS Pack [toby fox - SAVE the World],2.3997,1571,3.6423,1.1808,0.8577
4599960 | Sairai [7K // Easy],2.3992,466,4.2715,1.2061,0.8772
1282180 | Piano 7K BMS Pack [Kyle Landry - Naruto Medley],2.3985,1860,4.3234,1.7839,0.7808
217415 | Workaholic [Normal],2.3972,1591,3.2416,1.1033,1.0583
1393984 | Piano 7K BMS Pack [toby fox - Asgore],2.3968,1392,3.6709,1.2144,0.9267
4235420 | Infinity Heaven [_Yiiiii's Easy],2.3968,381,4.6391,1.1703,0.9006
1254998 | Piano 7K BMS Pack [Brad Breek - Made Me Realize (Gravity Falls)],2.3940,382,3.4483,1.2629,0.8502
302184 | Souzou Forest [Pro Drum],2.3921,1806,3.6219,1.1782,0.9213
1771456 | ouroboros -twin stroke of the end- [7K Falcon's Easy],2.3914,442,4.7863,1.2115,0.9201
4457395 | Circulation [Collab Easy],2.3913,104,5.2189,1.0325,0.9599
4330194 | Maple Trick [Normal],2.3910,963,3.9751,1.2590,0.8676
3178317 | Careless (TV Size) [Heru's Easy],2.3907,309,4.3448,1.1609,0.9368
3601863 | Crazy Shuffle [Normal Stage],2.3905,736,4.1157,1.1215,0.9773
4367623 | START!! True dreams (TV Size) [Slowpoke104's 7K Easy],2.3889,311,3.9163,1.2062,0.8990
4318942 | Take a Hint feat. Victoria Justice & Elizabeth Gillies (Sped Up & Cut Ver.) [Easy],2.3886,241,4.2072,1.1196,0.9246
490117 | Kakushigoto [S.Star's 7K HD],2.3883,1368,3.7561,1.2475,0.9476
1927554 | crossing blue [7K NOVICE],2.3873,804,3.9619,1.1746,0.9363
4737510 | caramel ribbon cursetard (TV Size) [Normal],2.3857,379,4.1519,1.0946,0.9573
2224306 | Floating Garden [Murumoo's Normal],2.3848,795,3.8589,1.2710,0.9738
4584452 | Rabbit Hole [Nochider's Easy // First Time],2.3846,593,4.0310,1.2396,0.8989
399504 | DON'T CUT [7K Normal],2.3845,537,4.3040,1.3245,0.8775
3316551 | R [Normal],2.3835,567,4.1680,1.3286,0.8874
2401262 | SPRINGIRLS [Normal],2.3833,944,3.9558,1.2562,0.8213
746861 | Kunoichi demo Koi ga Shitai [Normal],2.3787,549,3.8073,1.2600,0.8856
342045 | Oni Kanojo [[Shi-Ra]'s Kanojo [Normal]],2.3771,905,3.9082,1.2452,0.9462
559472 | FIRE FIRE -DARK BLAZE REMIX- [NOVICE],2.3763,609,4.2274,1.3256,0.8598
2773967 | Kaori no Yaruki Switch! (Cut Ver.) [Hyper],2.3752,759,3.5493,1.1118,1.0071
434318 | Let Me Hit It [Maou - sama's 7K NM],2.3746,527,4.1845,1.1904,0.9063
4600165 | Mahiru no Sora no Tsuki (TV Size) [Normal],2.3743,375,4.1868,1.1653,0.8897
3637996 | End to end [Adinda's BASIC],2.3740,381,4.4136,1.2149,0.9370
2704469 | Life is PIANO [Hard],2.3727,1034,3.3214,1.0920,1.0359
368835 | Unite (TV Size) [Normal],2.3718,433,4.1129,1.1430,0.9295
448216 | Grow Slowly (TV Size) [7K NM],2.3705,415,4.2484,1.1295,0.9056
3721931 | ricky bobby [mash's nm],2.3685,802,3.6813,1.0455,1.0185
3165699 | crossing field (TV Size) [7K Normal],2.3678,541,3.9451,1.1161,0.8823
1337011 | Piano 7K BMS Pack [xi - FREEDOM DiVE],2.3670,1148,3.4248,1.1107,0.9287
3698735 | Hyakunichisou (TV Size) [7K DH's Normal],2.3661,471,3.4256,1.1235,0.9197
4663988 | Vomit [Rurvker's Normal],2.3647,735,4.3620,1.3125,0.9119
4092273 | Harumachi Clover (TV Size) [Three leaf clover[HD]],2.3642,262,3.3889,1.1011,0.9057
280922 | Harlem Shake [Yuno's 7K SHD],2.3636,292,3.8196,1.3519,0.8959
3246074 | L9 [7K Advanced],2.3608,796,3.4525,1.0368,1.0202
342238 | Frozen World [Normal],2.3607,1633,4.0461,1.1789,0.9076
3541484 | Life is PIANO [Easy],2.3607,254,3.8272,1.1830,0.9324
1621686 | Kikoemasu ka feat. Haruki <Youshouki> (CV: Koinu) [Trainer's Easy],2.3590,277,4.7191,1.1189,0.9478
4226512 | Neppa feat. Butter [7K Normal],2.3586,554,3.6603,1.1987,0.8627
257981 | agony (TV Size) [Normal],2.3578,378,3.9256,1.1548,0.9189
3320951 | Sing My Pleasure (TV Size) [Reina's Normal],2.3556,513,4.0301,1.1608,0.9124
392003 | Monster (DotEXE Remix) [Zillah's 7K Normal],2.3554,442,4.2968,1.2338,0.9051
1282166 | Piano 7K BMS Pack [toby fox - It's Showtime],2.3546,722,3.6861,1.0785,0.8691
4451673 | Craiova [Easy],2.3543,380,4.2233,1.0159,0.9540
1530267 | ENDYMION [Normal],2.3539,649,4.1232,1.2483,0.9527
793970 | quaver [Kawawa's Hyper],2.3537,811,3.5768,1.2018,0.8747
485578 | Salut.soleil! [Normal],2.3534,878,4.2707,1.1714,0.9307
589421 | Whisper of Rose [Hyper],2.3524,660,3.9517,1.3192,0.8180
3613256 | People People feat. Nanahira [7K Normal],2.3522,1120,4.0332,1.2490,0.9309
3852747 | Magical World (Short Ver.) [Normal],2.3492,459,3.8057,1.1572,0.9240
2350386 | KIZUNA MUSIC (TV Size) [Expert],2.3489,469,4.2368,1.1954,0.9166
2083277 | 100% Chu~Gakusei (TV Size) [Normal],2.3476,674,3.8600,1.1095,0.9844
256642 | Sweet Rain [LV.12],2.3449,659,4.1062,1.2119,0.9322
4129266 | Grin [Easy],2.3448,429,4.4645,1.1655,0.9498
554274 | Snow halation (TV Size) [7K HD],2.3447,646,4.5144,1.3218,0.8356
280356 | Chaosmaid [Easy],2.3427,1059,3.7435,1.3345,0.8460
4778982 | Fractured Heaven [Hard],2.3377,1189,3.8628,1.1127,0.9746
1337015 | Piano 7K BMS Pack [Beethoven - Fur Elise],2.3363,999,3.6993,1.4333,0.7927
479489 | Shinobi [7K Normal],2.3360,696,4.1911,1.3861,0.8295
888796 | Just Hold on (To All Fighters) [Normal],2.3354,1062,4.3174,1.1921,0.8841
555899 | OVER DRIVE [Normal],2.3345,635,4.3871,1.2266,0.8845
771276 | Kakushinteki*Metamaruphose! [7K Lv.9],2.3333,458,4.1385,1.1728,0.9067
4290348 | Woodfairies [7K Normal],2.3328,570,4.5658,1.2423,0.8832
3475713 | Yoake no Uta (feat. DAZBEE) [paulkappa's Normal],2.3327,514,4.6882,1.2339,0.8890
1905812 | Upload Your Mind :: Download My Soul [Normal],2.3289,1260,4.5313,1.2855,0.8985
3252740 | Kaimin! Anmin! Syalist Seikatsu (TV Size) [7K Normal],2.3268,432,4.1459,1.2003,0.9236
"219361 | Utakata, Ai no Mahoroba [LV.8]",2.3265,387,4.5664,1.2744,0.8531
1357525 | Signal Graph Short ver [Normal],2.3260,343,3.9757,1.2926,0.8445
1878712 | MELODY FLAG (Amii's Edit) [Num's 7K Normal],2.3242,1100,4.0709,1.3108,0.8342
3377258 | Synchrogazer [7K NORMAL],2.3239,643,4.0311,1.4093,0.8678
3515148 | Frontier Explorer [Advanced],2.3232,1258,3.3087,1.0357,0.9807
4340052 | heaven in autumn [hard],2.3230,346,3.9926,1.2336,0.7968
646688 | MANIERA [Normal],2.3215,654,4.0663,1.3672,0.8724
841217 | Dragon Valley (Toni Leys Remix feat. Esteban Bellucci) [Normal],2.3192,875,4.3633,1.1370,0.9544
4187455 | Selenadia [Normal],2.3171,1060,3.6415,1.1349,0.9975
"3818609 | Lights, Camera, Action! [7K Hard]",2.3169,753,4.0939,1.1848,0.9423
4594326 | Moonstone [Advanced],2.3147,933,3.7784,1.1976,0.9082
4598841 | Back to the WORLD [Intermediate],2.3132,475,4.3405,1.1577,0.9386
"328223 | Though the Scent Lingers, the Flower Scattered [Normal]",2.3088,338,4.3877,1.1933,0.8915
4288586 | Renai millimeter film (TV Size) [7K Normal],2.3082,545,3.8709,1.3633,0.8946
4264140 | Sunset [Carpihat's Easy],2.3072,550,4.5079,1.2103,0.8439
4511436 | flora (Short Ver.) [normal],2.3068,555,3.7681,1.0735,0.9111
287000 | eternal reality - TV size - [7K NM],2.3060,425,4.2643,1.2202,0.9032
4369080 | Fin.ArcDeaR [NOVICE],2.3046,911,3.5324,1.1914,1.0175
355569 | Complex Image [victorica's Lv.7],2.3044,373,4.4074,1.2861,0.8709
2777176 | CHASE! (Short Ver.) [Normal],2.3042,625,4.2065,1.1734,0.9010
1393941 | Piano 7K BMS Pack [Takahashi Youko - A Cruel Angels Thesis],2.3041,686,3.7827,1.2943,0.8402
628503 | After After [7K NM],2.3036,593,3.7262,1.1241,0.9410
753996 | Claiomh Solais [Etlie's 7K Normal],2.3035,541,4.4348,1.4221,0.8456
687324 | Everlasting Message [NOVICE],2.3019,397,4.7518,1.1911,0.8836
4520612 | Campanella [NoName's 7K Normal],2.3014,1048,3.6223,1.1290,1.0094
298813 | The Island (MaxNRG Remix) [7K The Bed - Normal],2.3011,1234,4.2713,1.2139,0.9050
1005551 | citanLu [Lari's Easy],2.3004,325,4.5845,1.2046,0.9201
1021066 | Inverse World [ajee's Beginner],2.3003,344,4.3552,1.1833,0.9328
3371558 | Newspapers for Magicians [Easy],2.2993,777,4.7103,1.2271,0.8911
3165980 | ANiMA [Normal],2.2992,1537,3.9702,1.3691,0.8759
800628 | Anemone -TV MIX- [7K Normal],2.2987,374,4.1069,1.1164,0.9008
4100779 | Angel's Ladder [Beginner],2.2984,389,4.5127,1.2214,0.8966
2532344 | DUN DUN [SUN'S NORMAL],2.2968,1063,4.1621,1.1885,0.9467
2837568 | Nhelv [Normal],2.2944,765,4.2603,1.3669,0.8368
433743 | This Will Be the Day (James Landino's Magical Girl Remix) [Blocko's 7K NM+],2.2914,823,4.2324,1.2239,0.9138
946217 | Future style [7K NM],2.2905,1700,3.9511,1.2523,0.8482
1081673 | Beethoven Influenza [Normal],2.2894,839,4.0353,1.2483,0.9002
1222538 | Piano 7K BMS Pack [Jonathan Coulton & Ellen McLain - Want you gone],2.2878,1055,3.6749,1.3639,0.8257
3564470 | Celestial Horizon [Easy],2.2876,531,4.2217,1.2385,0.8998
361995 | TRIGGER*HAPPY [NM],2.2873,525,4.2479,1.3154,0.8886
222258 | Toki wo Kizamu Uta [7K NM],2.2872,536,3.9583,1.2997,0.8195
241340 | Stella [Pro Drum],2.2869,1839,3.6979,1.1690,0.8740
1911555 | Tachiagare! (TV Size) [Regional Idols],2.2866,538,3.6771,1.1882,0.9080
4554403 | Ataraxia [NoName's 7K Easy],2.2855,395,3.9950,1.2498,0.9269
3550699 | TAKAMARI * CLIMAXXX!!!!! [REGULAR],2.2851,874,3.8110,1.1137,0.9638
4428875 | Endless Carnival [Hard],2.2829,1227,3.2709,1.0675,0.8873
4005913 | THE EARTH [Normal],2.2813,777,3.8911,1.2829,0.9607
3862973 | Ocean Blue [Avel's Easy],2.2785,643,3.9853,1.3095,0.8309
1373918 | Seishun Prologue [7K Normal 'Akane'],2.2770,576,3.9318,1.1297,0.8801
273798 | Koi wa Chaos no Shimobenari (TV Size) [LV.14],2.2745,622,3.5185,1.1898,0.9100
346833 | Be Happy* [Hard],2.2742,1520,3.7339,1.1782,0.9487
4117683 | border (TV Size) [Ham's 7K Easy],2.2736,334,4.3151,1.1812,0.9139
1488848 | Hachigatsu no Yoru [7K Normal],2.2711,545,3.9252,1.2221,0.8716
378210 | snow storm [richard's 7K Lv.10],2.2695,451,4.6422,1.1349,0.9248
4492678 | I [Lucid Normal // 7K],2.2646,66,5.7645,1.0465,1.0292
2843462 | Qilin's Prance [Dew-Drinker | Easy],2.2635,207,4.9645,1.1037,0.9614
3743112 | Positive*Dance Time [Tricked's 7K Easy],2.2616,367,4.2987,1.1894,0.9708
4190733 | Kodou (TV Size) [Normal // 7K],2.2603,322,4.3108,1.2275,0.8244
851374 | * Crow Solace * [7K Normal],2.2602,551,4.3208,1.1959,0.8931
803400 | HAELEQUINZ -the clown of 24stairs- [Normal],2.2573,1293,3.8855,1.2102,0.9076
448627 | +Danshi [oko's 7K EZ],2.2568,968,3.8823,1.2782,0.8926
3102276 | Omoide Shiritori (TV Size) [7K Normal],2.2559,464,4.1211,1.2043,0.8874
1255022 | Piano 7K BMS Pack [The Living Tombstone - Five Nights at Freddy's],2.2558,1290,3.4961,1.2256,0.9208
1393939 | Piano 7K BMS Pack [Kalafina - Misterioso],2.2545,662,3.8020,1.3034,0.7874
465224 | Taekwonburi [7K NM],2.2542,477,4.2812,1.2071,0.9021
3054025 | Da Xi (Sped Up Ver.) [7K Normal],2.2531,794,3.8193,1.1822,0.9145
1991431 | Candy (feat. Sara) [7K Normal],2.2516,589,3.9393,1.1850,0.8965
4579985 | zeeros [Easy],2.2507,498,4.4239,1.2682,0.8372
2460469 | Eternalism 3 [Normal],2.2498,677,3.9444,1.2001,0.8790
975159 | o'er the flood [hydria's normal],2.2498,1337,3.7397,1.2695,0.8833
829080 | Secret Kakuranger TEKINA Remix [Zenx's 7K Normal],2.2497,1300,3.9671,1.5588,0.8334
2528902 | Aurolla [BASIC],2.2489,530,4.1688,1.2819,0.8819
1366217 | Scars of FAUNA [Normal],2.2474,615,4.2575,1.1445,0.9143
264594 | You & Me [7k Normal],2.2466,836,4.3664,1.2719,0.8709
3235402 | drop pop candy (Cut Ver.) [7k normal],2.2460,481,3.7467,1.1676,0.9335
412187 | Fiat Lux [NOVICE],2.2449,603,4.2998,1.1440,0.9295
4342496 | Kokuhaku Bungee Jump (TV Size) [Ferdi's Normal],2.2439,621,3.6106,1.1844,0.9077
4756283 | Clover [Hard],2.2428,1265,3.8393,1.1963,1.0015
4184224 | White Aura [Normal],2.2416,690,3.7165,1.1402,0.9739
385689 | Dear My Friend -Mada Minu Mirai e- [Lv.11],2.2401,496,3.8669,1.2261,0.9106
3563178 | GuNGNiR [Hyper],2.2386,726,3.8999,1.2124,0.9536
3471682 | Alethea (TV Size) [Normal],2.2336,328,4.1318,1.2214,0.8683
831954 | The Limit Does Not Exist [Normal],2.2330,481,4.4341,1.3404,0.8325
1030863 | Ikenai Borderline [KK's 7K NM],2.2305,881,3.2904,1.3556,0.8740
4469509 | Burning Star [Advanced],2.2274,1386,3.7326,1.1680,0.9684
1286086 | Piano 7K BMS Pack [Tomohisa Sako - Getta Ban Ban (Pokemon XY)],2.2261,769,3.2024,1.2039,0.8684
232356 | uni [Normal],2.2254,578,3.3386,1.3895,0.8409
256923 | Mermaid girl -Akiba Koubou MIX- [LV.10],2.2254,580,4.0176,1.1590,0.9434
3488023 | Fuantei na Kamisama (TV Size) [Normal],2.2190,498,3.9701,1.1559,0.8769
